"","Site","Sub_site","Year","Urchins","Macrocystis","Ecklonia","gravity_value","sst_mean","sst_max"
"1","Bahia_Tortugas_Clambei","Norte",2022,2,39,0,48.7772969151292,18.8838525,22.2762842857143
"2","Bahia_Tortugas_Clambei","Norte",2022,1,39,0,48.7772969151292,18.8838525,22.2762842857143
"3","Bahia_Tortugas_Clambei","Norte",2022,0,23,0,48.7772969151292,18.8838525,22.2762842857143
"4","Bahia_Tortugas_Clambei","Sur",2022,1,43,0,37.2307852561126,18.8096516666667,22.2811845714286
"5","Bahia_Tortugas_Clambei","Sur",2022,0,80,1,37.2307852561126,18.8096516666667,22.2811845714286
"6","Bahia_Tortugas_Clambei","Sur",2022,1,57,8,37.2307852561126,18.8096516666667,22.2811845714286
"7","Bahia_Tortugas_Rompiente","Norte",2022,0,34,0,20.9094808088005,18.8121726818182,22.2108938571429
"8","Bahia_Tortugas_Rompiente","Norte",2022,2,16,0,20.9094808088005,18.8121726818182,22.2108938571429
"9","Bahia_Tortugas_Rompiente","Norte",2022,4,46,0,20.9094808088005,18.8121726818182,22.2108938571429
"10","Bahia_Tortugas_Rompiente","Sur",2022,0,36,0,24.6923295648229,18.8121726818182,22.2108938571429
"11","Bahia_Tortugas_Rompiente","Sur",2022,0,56,2,24.6923295648229,18.8121726818182,22.2108938571429
"12","Bahia_Tortugas_Rompiente","Sur",2022,1,77,1,24.6923295648229,18.8121726818182,22.2108938571429
"13","Bahia_Tortugas_Sargazera","Norte",2022,0,40,4,129.048854882989,18.89639775,22.2327311428571
"14","Bahia_Tortugas_Sargazera","Norte",2022,0,30,2,129.048854882989,18.89639775,22.2327311428571
"15","Bahia_Tortugas_Sargazera","Norte",2022,0,26,0,129.048854882989,18.89639775,22.2327311428571
"16","Bahia_Tortugas_Sargazera","Sur",2022,0,18,39,129.048854882989,18.893481,22.2307478571429
"17","Bahia_Tortugas_Sargazera","Sur",2022,0,12,60,129.048854882989,18.893481,22.2307478571429
"18","Bahia_Tortugas_Sargazera","Sur",2022,0,0,102,129.048854882989,18.893481,22.2307478571429
"19","Baja_Mar","Norte",2022,107,0,0,570.243468598384,17.4462807727273,21.5920015714286
"20","Baja_Mar","Norte",2022,123,0,0,570.243468598384,17.4462807727273,21.5920015714286
"21","Baja_Mar","Norte",2022,63,0,0,570.243468598384,17.4462807727273,21.5920015714286
"22","Baja_Mar","Sur",2022,72,0,0,555.222266355907,17.9355214166667,21.5920015714286
"23","Baja_Mar","Sur",2022,77,0,0,555.222266355907,17.9355214166667,21.5920015714286
"24","Baja_Mar","Sur",2022,60,0,0,555.222266355907,17.9355214166667,21.5920015714286
"25","Bajo_Coronado","Norte",2022,58,0,0,4278.3795673136,17.4532914545455,21.7289692857143
