Year,Site,Sub_site,Latitude,Longitud,Transect
2022,Bajo_Coronado,Norte,32.374836,-117.22463,1
2022,Bajo_Coronado,Norte,32.374836,-117.22463,2
2022,Bajo_Coronado,Norte,32.374836,-117.22463,3
2023,Bajo_Coronado,Norte,32.374836,-117.22463,1
2023,Bajo_Coronado,Norte,32.374836,-117.22463,2
2023,Bajo_Coronado,Norte,32.374836,-117.22463,3
2022,Bajo_Coronado,Sur,32.367121,-117.223072,1
2022,Bajo_Coronado,Sur,32.367121,-117.223072,2
2022,Bajo_Coronado,Sur,32.367121,-117.223072,3
2023,Bajo_Coronado,Sur,32.367121,-117.223072,1
2023,Bajo_Coronado,Sur,32.367121,-117.223072,2
2023,Bajo_Coronado,Sur,32.367121,-117.223072,3
2022,Campo_Lopez,Norte,32.157503,-116.911891,1
2022,Campo_Lopez,Norte,32.157503,-116.911891,2
2022,Campo_Lopez,Norte,32.157503,-116.911891,3
2023,Campo_Lopez,Norte,32.157503,-116.911891,1
2023,Campo_Lopez,Norte,32.157503,-116.911891,2
2023,Campo_Lopez,Norte,32.157503,-116.911891,3
2022,Campo_Lopez,Sur,32.154178,-116.911088,1
2022,Campo_Lopez,Sur,32.154178,-116.911088,2
2022,Campo_Lopez,Sur,32.154178,-116.911088,3
2023,Campo_Lopez,Sur,32.154178,-116.911088,1
2023,Campo_Lopez,Sur,32.154178,-116.911088,2
2023,Campo_Lopez,Sur,32.154178,-116.911088,3
2022,Baja_Mar,Norte,32.01655,-116.882683,1
2022,Baja_Mar,Norte,32.01655,-116.882683,2
2022,Baja_Mar,Norte,32.01655,-116.882683,3
2023,Baja_Mar,Norte,32.01655,-116.882683,1
2023,Baja_Mar,Norte,32.01655,-116.882683,2
2023,Baja_Mar,Norte,32.01655,-116.882683,3
2022,Baja_Mar,Sur,32.007817,-116.875617,1
2022,Baja_Mar,Sur,32.007817,-116.875617,2
2022,Baja_Mar,Sur,32.007817,-116.875617,3
2023,Baja_Mar,Sur,32.007817,-116.875617,1
2023,Baja_Mar,Sur,32.007817,-116.875617,2
2023,Baja_Mar,Sur,32.007817,-116.875617,3
2022,Sal_Si_Puedes,Norte,31.982554,-116.842422,1
2022,Sal_Si_Puedes,Norte,31.982554,-116.842422,2
2022,Sal_Si_Puedes,Norte,31.982554,-116.842422,3
2023,Sal_Si_Puedes,Norte,31.98263,-116.84202,1
2023,Sal_Si_Puedes,Norte,31.98263,-116.84202,2
2023,Sal_Si_Puedes,Norte,31.98263,-116.84202,3
2022,Sal_Si_Puedes,Sur,31.976803,-116.833583,1
2022,Sal_Si_Puedes,Sur,31.976803,-116.833583,2
2022,Sal_Si_Puedes,Sur,31.976803,-116.833583,3
2023,Sal_Si_Puedes,Sur,31.976803,-116.833583,1
2023,Sal_Si_Puedes,Sur,31.976803,-116.833583,2
2023,Sal_Si_Puedes,Sur,31.976803,-116.833583,3
2023,Isla_Todos_Santos_Faro,Sur,31.81416,-116.81133,
2023,Isla_Todos_Santos_Faro,Sur,31.81416,-116.81133,
2023,Isla_Todos_Santos_Faro,Sur,31.81416,-116.81133,
2022,Isla_Todos_Santos_Protegido,Norte,31.814561,-116.801723,1
2022,Isla_Todos_Santos_Protegido,Norte,31.814561,-116.801723,2
2022,Isla_Todos_Santos_Protegido,Norte,31.814561,-116.801723,3
2023,Isla_Todos_Santos_Protegido,Norte,31.814561,-116.801723,1
2023,Isla_Todos_Santos_Protegido,Norte,31.814561,-116.801723,2
2023,Isla_Todos_Santos_Protegido,Norte,31.814561,-116.801723,3
2022,Isla_Todos_Santos_Expuesto,Norte,31.801562,-116.799888,1
2022,Isla_Todos_Santos_Expuesto,Norte,31.801562,-116.799888,2
2022,Isla_Todos_Santos_Expuesto,Norte,31.801562,-116.799888,3
2023,Isla_Todos_Santos_Expuesto,Norte,31.801562,-116.799888,1
2023,Isla_Todos_Santos_Expuesto,Norte,31.801562,-116.799888,2
2023,Isla_Todos_Santos_Expuesto,Norte,31.801562,-116.799888,3
2022,Isla_Todos_Santos_Protegido,Sur,31.810967,-116.799483,1
2022,Isla_Todos_Santos_Protegido,Sur,31.810967,-116.799483,2
2022,Isla_Todos_Santos_Protegido,Sur,31.810967,-116.799483,3
2023,Isla_Todos_Santos_Protegido,Sur,31.810967,-116.799483,1
2023,Isla_Todos_Santos_Protegido,Sur,31.810967,-116.799483,2
2023,Isla_Todos_Santos_Protegido,Sur,31.810967,-116.799483,3
2022,Isla_Todos_Santos_Expuesto,Sur,31.800083,-116.796467,1
2022,Isla_Todos_Santos_Expuesto,Sur,31.800083,-116.796467,2
2022,Isla_Todos_Santos_Expuesto,Sur,31.800083,-116.796467,3
2023,Isla_Todos_Santos_Expuesto,Sur,31.800083,-116.796467,1
2023,Isla_Todos_Santos_Expuesto,Sur,31.800083,-116.796467,2
2023,Isla_Todos_Santos_Expuesto,Sur,31.800083,-116.796467,3
2022,San_Miguel,Norte,31.910329,-116.757774,1
2022,San_Miguel,Norte,31.910329,-116.757774,2
2022,San_Miguel,Norte,31.910329,-116.757774,3
2023,San_Miguel,Norte,31.91054,-116.75733,1
2023,San_Miguel,Norte,31.91054,-116.75733,2
2023,San_Miguel,Norte,31.91054,-116.75733,3
2022,San_Miguel,Sur,31.906118,-116.753355,1
2022,San_Miguel,Sur,31.906118,-116.753355,2
2022,San_Miguel,Sur,31.906118,-116.753355,3
2023,San_Miguel,Sur,31.90625,-116.75329,1
2023,San_Miguel,Sur,31.90625,-116.75329,2
2023,San_Miguel,Sur,31.90625,-116.75329,3
2022,Punta_Banda,Norte,31.740777,-116.742875,1
2022,Punta_Banda,Norte,31.740777,-116.742875,2
2022,Punta_Banda,Norte,31.740777,-116.742875,3
2023,Punta_Banda,Norte,31.740777,-116.742875,1
2023,Punta_Banda,Norte,31.740777,-116.742875,2
2023,Punta_Banda,Norte,31.740777,-116.742875,3
2022,Punta_Banda,Sur,31.7366,-116.736605,1
2022,Punta_Banda,Sur,31.7366,-116.736605,2
2022,Punta_Banda,Sur,31.7366,-116.736605,3
2023,Punta_Banda,Sur,31.7366,-116.736605,1
2023,Punta_Banda,Sur,31.7366,-116.736605,2
2023,Punta_Banda,Sur,31.7366,-116.736605,3
2022,El_Retiro,Norte,31.60445,-116.6729,1
2022,El_Retiro,Norte,31.60445,-116.6729,2
2022,El_Retiro,Norte,31.60445,-116.6729,3
2023,El_Retiro,Norte,31.60445,-116.6729,1
2023,El_Retiro,Norte,31.60445,-116.6729,2
2023,El_Retiro,Norte,31.60445,-116.6729,3
2022,La_Bocana,Norte,31.527276,-116.665914,1
2022,La_Bocana,Norte,31.527276,-116.665914,2
2022,La_Bocana,Norte,31.527276,-116.665914,3
2023,La_Bocana,Norte,31.527276,-116.665914,1
2023,La_Bocana,Norte,31.527276,-116.665914,2
2023,La_Bocana,Norte,31.527276,-116.665914,3
2022,El_Retiro,Sur,31.597467,-116.665033,1
2022,El_Retiro,Sur,31.597467,-116.665033,2
2022,El_Retiro,Sur,31.597467,-116.665033,3
2023,El_Retiro,Sur,31.597467,-116.665033,1
2023,El_Retiro,Sur,31.597467,-116.665033,2
2023,El_Retiro,Sur,31.597467,-116.665033,3
2022,La_Bocana,Sur,31.522661,-116.662822,1
2022,La_Bocana,Sur,31.522661,-116.662822,2
2022,La_Bocana,Sur,31.522661,-116.662822,3
2023,La_Bocana,Sur,31.522661,-116.662822,1
2023,La_Bocana,Sur,31.522661,-116.662822,2
2023,La_Bocana,Sur,31.522661,-116.662822,3
2022,Erendira,Sur,31.27503,-116.402528,1
2022,Erendira,Sur,31.27503,-116.402528,2
2022,Erendira,Sur,31.27503,-116.402528,3
2022,Punta_Colonet,Norte,30.878366,-116.21345,1
2022,Punta_Colonet,Norte,30.878366,-116.21345,2
2022,Punta_Colonet,Norte,30.878366,-116.21345,3
2022,Punta_Colonet,Sur,30.872505,-116.212926,1
2022,Punta_Colonet,Sur,30.872505,-116.212926,2
2022,Punta_Colonet,Sur,30.872505,-116.212926,3
2022,Isla_San_Martin_Expuesto,Norte,30.484633,-116.125933,1
2022,Isla_San_Martin_Expuesto,Norte,30.484633,-116.125933,2
2022,Isla_San_Martin_Expuesto,Norte,30.484633,-116.125933,3
2023,Isla_San_Martin_Expuesto,Norte,30.484633,-116.125933,1
2023,Isla_San_Martin_Expuesto,Norte,30.484633,-116.125933,2
2023,Isla_San_Martin_Expuesto,Norte,30.484633,-116.125933,3
2023,Isla_San_Martin_Expuesto,Sur,30.48025,-116.117741,1
2023,Isla_San_Martin_Expuesto,Sur,30.48025,-116.117741,2
2023,Isla_San_Martin_Expuesto,Sur,30.48025,-116.117741,3
2022,Isla_San_Martin_Expuesto,Sur,30.479743,-116.115237,1
2022,Isla_San_Martin_Expuesto,Sur,30.479743,-116.115237,2
2022,Isla_San_Martin_Expuesto,Sur,30.479743,-116.115237,3
2022,Isla_San_Martin_Protegido,Norte,30.4795,-116.106783,1
2022,Isla_San_Martin_Protegido,Norte,30.4795,-116.106783,2
2022,Isla_San_Martin_Protegido,Norte,30.4795,-116.106783,3
2023,Isla_San_Martin_Protegido,Norte,30.4795,-116.106783,1
2023,Isla_San_Martin_Protegido,Norte,30.4795,-116.106783,2
2023,Isla_San_Martin_Protegido,Norte,30.4795,-116.106783,3
2023,Isla_San_Martin_Protegido,Sur,30.4795,-116.106783,1
2023,Isla_San_Martin_Protegido,Sur,30.4795,-116.106783,2
2022,Isla_San_Martin_Protegido,Sur,30.483533,-116.100067,1
2022,Isla_San_Martin_Protegido,Sur,30.483533,-116.100067,2
2022,Isla_San_Martin_Protegido,Sur,30.483533,-116.100067,3
2023,Isla_San_Martin_Protegido,Sur,30.483533,-116.100067,3
2023,Isla_San_Jeronimo_Expuesto,Lobera,29.7803,-115.80246,1
2023,Isla_San_Jeronimo_Expuesto,Lobera,29.7803,-115.80246,2
2023,Isla_San_Jeronimo_Expuesto,Lobera,29.7803,-115.80246,3
2023,Isla_San_Jeronimo_Expuesto,Centre,29.793255,-115.800434,1
2023,Isla_San_Jeronimo_Expuesto,Centre,29.793255,-115.800434,2
2023,Isla_San_Jeronimo_Expuesto,Centre,29.793255,-115.800434,3
2022,Isla_San_Jeronimo_Expuesto,Sur,29.7902,-115.800333,1
2022,Isla_San_Jeronimo_Expuesto,Sur,29.7902,-115.800333,2
2022,Isla_San_Jeronimo_Expuesto,Sur,29.7902,-115.800333,3
2023,Isla_San_Jeronimo_Expuesto,Sur,29.7902,-115.800333,1
2023,Isla_San_Jeronimo_Expuesto,Sur,29.7902,-115.800333,2
2023,Isla_San_Jeronimo_Expuesto,Sur,29.7902,-115.800333,3
2022,Isla_San_Jeronimo_Expuesto,Norte,29.796533,-115.7965,1
2022,Isla_San_Jeronimo_Expuesto,Norte,29.796533,-115.7965,2
2022,Isla_San_Jeronimo_Expuesto,Norte,29.796533,-115.7965,3
2023,Isla_San_Jeronimo_Expuesto,Norte,29.796533,-115.7965,1
2023,Isla_San_Jeronimo_Expuesto,Norte,29.796533,-115.7965,2
2023,Isla_San_Jeronimo_Expuesto,Norte,29.796533,-115.7965,3
2022,El_Rosario_Lazaro,Norte,29.90381,-115.77609,1
2022,El_Rosario_Lazaro,Norte,29.90381,-115.77609,2
2022,El_Rosario_Lazaro,Norte,29.90381,-115.77609,3
2023,El_Rosario_Lazaro,Norte,29.90381,-115.77609,1
2023,El_Rosario_Lazaro,Norte,29.90381,-115.77609,2
2023,El_Rosario_Lazaro,Norte,29.90381,-115.77609,3
2022,El_Rosario_Picacho,Norte,29.89152,-115.77549,1
2022,El_Rosario_Picacho,Norte,29.89152,-115.77549,2
2022,El_Rosario_Picacho,Norte,29.89152,-115.77549,3
2023,El_Rosario_Picacho,Norte,29.89152,-115.77549,1
2023,El_Rosario_Picacho,Norte,29.89152,-115.77549,2
2023,El_Rosario_Picacho,Norte,29.89152,-115.77549,3
2022,El_Rosario_Picacho,Sur,29.888686,-115.774929,1
2022,El_Rosario_Picacho,Sur,29.888686,-115.774929,2
2022,El_Rosario_Picacho,Sur,29.888686,-115.774929,3
2023,El_Rosario_Picacho,Sur,29.888686,-115.774929,1
2023,El_Rosario_Picacho,Sur,29.888686,-115.774929,2
2023,El_Rosario_Picacho,Sur,29.888686,-115.774929,3
2023,Arrecife_Sacramento,Norte,29.72947,-115.772117,1
