"","Year","Site","Sub_site","Transect","Sum_abundance","M2","density_eck","Lat","Long"
"1",2011,"Baja_Mar","North",1,0,15,0,32.01655,-116.882683
"2",2011,"Baja_Mar","North",2,0,15,0,32.01655,-116.882683
"3",2011,"Baja_Mar","North",3,0,15,0,32.01655,-116.882683
"4",2011,"Baja_Mar","South",1,0,15,0,32.007817,-116.875617
"5",2011,"Baja_Mar","South",2,0,15,0,32.007817,-116.875617
"6",2011,"Baja_Mar","South",3,0,15,0,32.007817,-116.875617
"7",2011,"Campo_Lopez","North",1,0,15,0,32.157503,-116.911891
"8",2011,"Campo_Lopez","North",2,0,15,0,32.157503,-116.911891
"9",2011,"Campo_Lopez","North",3,0,15,0,32.157503,-116.911891
"10",2011,"Campo_Lopez","South",1,0,15,0,32.154178,-116.911088
"11",2011,"Campo_Lopez","South",2,0,15,0,32.154178,-116.911088
"12",2011,"Campo_Lopez","South",3,0,15,0,32.154178,-116.911088
"13",2011,"Isla_Todos_Santos_Expuesto","North",1,1,15,0.0666666666666667,31.801562,-116.799888
"14",2011,"Isla_Todos_Santos_Expuesto","North",2,0,15,0,31.801562,-116.799888
"15",2011,"Isla_Todos_Santos_Expuesto","North",3,0,15,0,31.801562,-116.799888
"16",2011,"Isla_Todos_Santos_Expuesto","South",1,1,15,0.0666666666666667,31.800083,-116.796467
"17",2011,"Isla_Todos_Santos_Expuesto","South",2,0,15,0,31.800083,-116.796467
"18",2011,"Isla_Todos_Santos_Expuesto","South",3,0,15,0,31.800083,-116.796467
"19",2011,"Sal_Si_Puedes","North",1,2,15,0.133333333333333,31.982592,-116.842221
"20",2011,"Sal_Si_Puedes","North",2,2,15,0.133333333333333,31.982592,-116.842221
"21",2011,"Sal_Si_Puedes","North",3,0,15,0,31.982592,-116.842221
"22",2011,"Sal_Si_Puedes","South",1,0,15,0,31.976803,-116.833583
"23",2011,"Sal_Si_Puedes","South",2,0,15,0,31.976803,-116.833583
"24",2011,"Sal_Si_Puedes","South",3,3,15,0.2,31.976803,-116.833583
"25",2011,"San_Miguel","North",1,0,15,0,31.9104345,-116.757552
"26",2011,"San_Miguel","North",2,0,15,0,31.9104345,-116.757552
"27",2011,"San_Miguel","North",3,0,15,0,31.9104345,-116.757552
"28",2011,"San_Miguel","South",1,0,15,0,31.906184,-116.7533225
"29",2011,"San_Miguel","South",2,0,15,0,31.906184,-116.7533225
"30",2011,"San_Miguel","South",3,0,15,0,31.906184,-116.7533225
"31",2012,"Isla_Todos_Santos_Expuesto","North",1,1,15,0.0666666666666667,31.801562,-116.799888
"32",2012,"Isla_Todos_Santos_Expuesto","North",2,0,15,0,31.801562,-116.799888
"33",2012,"Isla_Todos_Santos_Expuesto","North",3,0,15,0,31.801562,-116.799888
"34",2012,"Isla_Todos_Santos_Expuesto","South",1,0,15,0,31.800083,-116.796467
"35",2012,"Isla_Todos_Santos_Expuesto","South",2,1,15,0.0666666666666667,31.800083,-116.796467
"36",2012,"Isla_Todos_Santos_Expuesto","South",3,0,15,0,31.800083,-116.796467
"37",2012,"San_Miguel","North",1,0,15,0,31.9104345,-116.757552
"38",2012,"San_Miguel","North",2,0,15,0,31.9104345,-116.757552
"39",2012,"San_Miguel","North",3,0,15,0,31.9104345,-116.757552
"40",2012,"San_Miguel","South",1,0,15,0,31.906184,-116.7533225
"41",2012,"San_Miguel","South",2,0,15,0,31.906184,-116.7533225
"42",2012,"San_Miguel","South",3,0,15,0,31.906184,-116.7533225
"43",2013,"Baja_Mar","North",1,0,15,0,32.01655,-116.882683
"44",2013,"Baja_Mar","North",2,0,15,0,32.01655,-116.882683
"45",2013,"Baja_Mar","North",3,0,15,0,32.01655,-116.882683
"46",2013,"Baja_Mar","South",1,0,15,0,32.007817,-116.875617
"47",2013,"Baja_Mar","South",2,0,15,0,32.007817,-116.875617
"48",2013,"Baja_Mar","South",3,0,15,0,32.007817,-116.875617
"49",2013,"Isla_Todos_Santos_Expuesto","North",1,0,15,0,31.801562,-116.799888
"50",2013,"Isla_Todos_Santos_Expuesto","North",2,0,15,0,31.801562,-116.799888
"51",2013,"Isla_Todos_Santos_Expuesto","North",3,0,15,0,31.801562,-116.799888
"52",2013,"Isla_Todos_Santos_Expuesto","South",1,8,15,0.533333333333333,31.800083,-116.796467
"53",2013,"Isla_Todos_Santos_Expuesto","South",2,2,15,0.133333333333333,31.800083,-116.796467
"54",2013,"Isla_Todos_Santos_Expuesto","South",3,8,15,0.533333333333333,31.800083,-116.796467
"55",2013,"Isla_Todos_Santos_Protegido","North",1,0,15,0,31.814561,-116.801723
"56",2013,"Isla_Todos_Santos_Protegido","North",2,0,15,0,31.814561,-116.801723
"57",2013,"Isla_Todos_Santos_Protegido","North",3,0,15,0,31.814561,-116.801723
"58",2013,"Isla_Todos_Santos_Protegido","South",1,0,15,0,31.810967,-116.799483
"59",2013,"Isla_Todos_Santos_Protegido","South",2,0,15,0,31.810967,-116.799483
"60",2013,"Isla_Todos_Santos_Protegido","South",3,0,15,0,31.810967,-116.799483
"61",2013,"Sal_Si_Puedes","North",1,0,15,0,31.982592,-116.842221
"62",2013,"Sal_Si_Puedes","North",2,0,15,0,31.982592,-116.842221
"63",2013,"Sal_Si_Puedes","North",3,0,15,0,31.982592,-116.842221
"64",2013,"Sal_Si_Puedes","South",1,0,15,0,31.976803,-116.833583
"65",2013,"Sal_Si_Puedes","South",2,0,15,0,31.976803,-116.833583
"66",2013,"Sal_Si_Puedes","South",3,0,15,0,31.976803,-116.833583
"67",2013,"San_Miguel","North",1,0,15,0,31.9104345,-116.757552
"68",2013,"San_Miguel","North",2,0,15,0,31.9104345,-116.757552
"69",2013,"San_Miguel","North",3,0,15,0,31.9104345,-116.757552
"70",2013,"San_Miguel","South",1,0,15,0,31.906184,-116.7533225
"71",2013,"San_Miguel","South",2,0,15,0,31.906184,-116.7533225
"72",2013,"San_Miguel","South",3,0,15,0,31.906184,-116.7533225
"73",2016,"Isla_Todos_Santos_Expuesto","North",1,2,40,0.05,31.801562,-116.799888
"74",2016,"Isla_Todos_Santos_Expuesto","North",2,6,40,0.15,31.801562,-116.799888
"75",2016,"Isla_Todos_Santos_Expuesto","North",3,0,40,0,31.801562,-116.799888
"76",2016,"Isla_Todos_Santos_Expuesto","South",1,2,40,0.05,31.800083,-116.796467
"77",2016,"Isla_Todos_Santos_Protegido","North",1,0,40,0,31.814561,-116.801723
"78",2016,"Isla_Todos_Santos_Protegido","North",2,0,40,0,31.814561,-116.801723
"79",2016,"Isla_Todos_Santos_Protegido","North",3,0,40,0,31.814561,-116.801723
"80",2016,"Isla_Todos_Santos_Protegido","South",1,0,40,0,31.810967,-116.799483
"81",2016,"Isla_Todos_Santos_Protegido","South",2,0,40,0,31.810967,-116.799483
"82",2016,"Isla_Todos_Santos_Protegido","South",3,0,40,0,31.810967,-116.799483
"83",2019,"Baja_Mar","South",1,0,30,0,32.007817,-116.875617
"84",2019,"Baja_Mar","South",2,0,30,0,32.007817,-116.875617
"85",2019,"Baja_Mar","South",3,0,30,0,32.007817,-116.875617
"86",2019,"Baja_Mar","South",4,1,30,0.0333333333333333,32.007817,-116.875617
"87",2019,"Campo_Lopez","North",1,0,30,0,32.157503,-116.911891
"88",2019,"Campo_Lopez","North",2,0,30,0,32.157503,-116.911891
"89",2019,"Campo_Lopez","North",3,0,30,0,32.157503,-116.911891
"90",2019,"Campo_Lopez","South",1,0,30,0,32.154178,-116.911088
"91",2019,"Campo_Lopez","South",2,0,30,0,32.154178,-116.911088
"92",2019,"Campo_Lopez","South",3,0,30,0,32.154178,-116.911088
"93",2019,"Isla_Todos_Santos_Expuesto","North",1,4,30,0.133333333333333,31.801562,-116.799888
"94",2019,"Isla_Todos_Santos_Expuesto","North",2,7,30,0.233333333333333,31.801562,-116.799888
"95",2019,"Isla_Todos_Santos_Expuesto","North",3,5,30,0.166666666666667,31.801562,-116.799888
"96",2019,"Isla_Todos_Santos_Expuesto","South",1,0,30,0,31.800083,-116.796467
"97",2019,"Isla_Todos_Santos_Expuesto","South",2,0,30,0,31.800083,-116.796467
"98",2019,"Isla_Todos_Santos_Expuesto","South",3,0,30,0,31.800083,-116.796467
"99",2019,"Isla_Todos_Santos_Protegido","North",1,4,30,0.133333333333333,31.814561,-116.801723
"100",2019,"Isla_Todos_Santos_Protegido","North",2,0,30,0,31.814561,-116.801723
"101",2019,"Isla_Todos_Santos_Protegido","North",3,0,30,0,31.814561,-116.801723
"102",2019,"Isla_Todos_Santos_Protegido","South",1,0,30,0,31.810967,-116.799483
"103",2019,"Isla_Todos_Santos_Protegido","South",2,0,30,0,31.810967,-116.799483
"104",2019,"Isla_Todos_Santos_Protegido","South",3,1,30,0.0333333333333333,31.810967,-116.799483
"105",2019,"San_Miguel","North",1,1,30,0.0333333333333333,31.9104345,-116.757552
"106",2019,"San_Miguel","North",2,0,30,0,31.9104345,-116.757552
"107",2019,"San_Miguel","North",3,0,30,0,31.9104345,-116.757552
"108",2019,"San_Miguel","South",1,0,30,0,31.906184,-116.7533225
"109",2019,"San_Miguel","South",2,0,30,0,31.906184,-116.7533225
"110",2019,"San_Miguel","South",3,0,30,0,31.906184,-116.7533225
"111",2020,"Baja_Mar","North",1,0,30,0,32.01655,-116.882683
