"","ANIO","SITIO","TRANSECTO","ESPECIE","ABUNDANCIA","COMUNIDAD","LATITUD","LONGITUD"
"1",2006,"Babencho",1,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"2",2006,"Babencho",2,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"3",2006,"Babencho",3,"Ecklonia arborea",1,"Isla Natividad",27.86058,-115.1888
"4",2006,"Babencho",4,"Ecklonia arborea",2,"Isla Natividad",27.86058,-115.1888
"5",2006,"Babencho",5,"Ecklonia arborea",5,"Isla Natividad",27.86058,-115.1888
"6",2006,"Babencho",6,"Ecklonia arborea",2,"Isla Natividad",27.86058,-115.1888
"7",2006,"Babencho",7,"Ecklonia arborea",136,"Isla Natividad",27.86058,-115.1888
"8",2006,"Babencho",8,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"9",2006,"Babencho",9,"Ecklonia arborea",150,"Isla Natividad",27.86058,-115.1888
"10",2006,"Babencho",10,"Ecklonia arborea",1,"Isla Natividad",27.86058,-115.1888
"11",2006,"Babencho",11,"Ecklonia arborea",188,"Isla Natividad",27.86058,-115.1888
"12",2006,"La Dulce",1,"Ecklonia arborea",136,"Isla Natividad",27.84501,-115.1428
"13",2006,"La Dulce",2,"Ecklonia arborea",65,"Isla Natividad",27.84501,-115.1428
"14",2006,"La Dulce",3,"Ecklonia arborea",25,"Isla Natividad",27.84501,-115.1428
"15",2006,"La Dulce",4,"Ecklonia arborea",37,"Isla Natividad",27.84501,-115.1428
"16",2006,"La Dulce",5,"Ecklonia arborea",40,"Isla Natividad",27.84501,-115.1428
"17",2006,"La Dulce",6,"Ecklonia arborea",75,"Isla Natividad",27.84501,-115.1428
"18",2006,"La Dulce",7,"Ecklonia arborea",36,"Isla Natividad",27.84501,-115.1428
"19",2006,"La Dulce",8,"Ecklonia arborea",94,"Isla Natividad",27.84501,-115.1428
"20",2006,"La Dulce",9,"Ecklonia arborea",83,"Isla Natividad",27.84501,-115.1428
"21",2006,"La Dulce",10,"Ecklonia arborea",88,"Isla Natividad",27.84501,-115.1428
"22",2006,"La Dulce",11,"Ecklonia arborea",68,"Isla Natividad",27.84501,-115.1428
"23",2006,"La Dulce",12,"Ecklonia arborea",58,"Isla Natividad",27.84501,-115.1428
"24",2006,"La Plana",1,"Ecklonia arborea",5,"Isla Natividad",27.84616,-115.1653
"25",2006,"La Plana",2,"Ecklonia arborea",21,"Isla Natividad",27.84616,-115.1653
"26",2006,"La Plana",3,"Ecklonia arborea",7,"Isla Natividad",27.84616,-115.1653
"27",2006,"La Plana",4,"Ecklonia arborea",11,"Isla Natividad",27.84616,-115.1653
"28",2006,"La Plana",5,"Ecklonia arborea",7,"Isla Natividad",27.84616,-115.1653
"29",2006,"La Plana",6,"Ecklonia arborea",83,"Isla Natividad",27.84616,-115.1653
"30",2006,"La Plana",7,"Ecklonia arborea",35,"Isla Natividad",27.84616,-115.1653
"31",2006,"La Plana",8,"Ecklonia arborea",61,"Isla Natividad",27.84616,-115.1653
"32",2006,"La Plana",9,"Ecklonia arborea",75,"Isla Natividad",27.84616,-115.1653
"33",2006,"La Plana",10,"Ecklonia arborea",9,"Isla Natividad",27.84616,-115.1653
"34",2006,"La Plana",11,"Ecklonia arborea",28,"Isla Natividad",27.84616,-115.1653
"35",2006,"La Plana",12,"Ecklonia arborea",36,"Isla Natividad",27.84616,-115.1653
"36",2006,"La Plana",13,"Ecklonia arborea",32,"Isla Natividad",27.84616,-115.1653
"37",2006,"La Plana",14,"Ecklonia arborea",12,"Isla Natividad",27.84616,-115.1653
"38",2006,"La Plana",15,"Ecklonia arborea",94,"Isla Natividad",27.84616,-115.1653
"39",2006,"La Plana",16,"Ecklonia arborea",35,"Isla Natividad",27.84616,-115.1653
"40",2006,"La Plana",17,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"41",2006,"La Plana",18,"Ecklonia arborea",39,"Isla Natividad",27.84616,-115.1653
"42",2006,"La Plana",19,"Ecklonia arborea",17,"Isla Natividad",27.84616,-115.1653
"43",2006,"La Plana",20,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
