Site,Ecoregion
Bahia_Tortugas_Clambei,Central Baja California
Bahia_Tortugas_Rompiente,Central Baja California
Bahia_Tortugas_Sargazera,Central Baja California
Baja_Mar,Northern Baja California
Bajo_Coronado,Northern Baja California
Campo_Lopez,Northern Baja California
El_Retiro,Northern Baja California
El_Rosario_Lazaro,Northern Baja California
El_Rosario_Picacho,Northern Baja California
Emancipacion_El_Cardon,Central Baja California
Emancipacion_Puerto_Escondido,Central Baja California
Erendira,Northern Baja California
Isla_Asuncion,Central Baja California
Isla_Cedros_Cabo_San_Agustin,Central Baja California
Isla_Cedros_La_Botella,Central Baja California
Isla_Cedros_Puerto_Escondido,Central Baja California
Isla_Cedros_Punta_Norte,Central Baja California
Isla_Natividad_El_Tibo,Central Baja California
Isla_Natividad_La_Vela,Central Baja California
Isla_San_Jeronimo_Expuesto,Northern Baja California
Isla_San_Martin_Expuesto,Northern Baja California
Isla_San_Martin_Protegido,Northern Baja California
Isla_Todos_Santos_Expuesto,Northern Baja California
Isla_Todos_Santos_Protegido,Northern Baja California
Islas_San_Benito_El_Creston,Central Baja California
Islas_San_Benito_El_Tecapan,Central Baja California
Islas_San_Benito_Los_Huevos,Central Baja California
La_Bocana,Northern Baja California
Punta_Banda,Northern Baja California
Punta_Colonet,Northern Baja California
Punta_Eugenia_El_Reventon,Central Baja California
Punta_Eugenia_Las_Boyas,Central Baja California
Punta_San_Roque,Central Baja California
Sal_Si_Puedes,Northern Baja California
San_Miguel,Northern Baja California
Arrecife_Sacramento,Northern Baja California
