"","Year","Site","Sub_site","Transect","Sum_abundance","Density","Lat","Long"
"1",2011,"Baja_Mar","North",1,12,0.8,32.01655,-116.882683
"2",2011,"Baja_Mar","North",2,8,0.533333333333333,32.01655,-116.882683
"3",2011,"Baja_Mar","North",3,2,0.133333333333333,32.01655,-116.882683
"4",2011,"Baja_Mar","South",1,2,0.133333333333333,32.007817,-116.875617
"5",2011,"Baja_Mar","South",2,1,0.0666666666666667,32.007817,-116.875617
"6",2011,"Baja_Mar","South",3,1,0.0666666666666667,32.007817,-116.875617
"7",2011,"Campo_Lopez","North",1,122,8.13333333333333,32.157503,-116.911891
"8",2011,"Campo_Lopez","North",2,71,4.73333333333333,32.157503,-116.911891
"9",2011,"Campo_Lopez","North",3,72,4.8,32.157503,-116.911891
"10",2011,"Campo_Lopez","South",1,14,0.933333333333333,32.154178,-116.911088
"11",2011,"Campo_Lopez","South",2,4,0.266666666666667,32.154178,-116.911088
"12",2011,"Campo_Lopez","South",3,19,1.26666666666667,32.154178,-116.911088
"13",2011,"Isla_Todos_Santos_Expuesto","North",1,196,13.0666666666667,31.801562,-116.799888
"14",2011,"Isla_Todos_Santos_Expuesto","North",2,230,15.3333333333333,31.801562,-116.799888
"15",2011,"Isla_Todos_Santos_Expuesto","North",3,165,11,31.801562,-116.799888
"16",2011,"Isla_Todos_Santos_Expuesto","South",1,42,2.8,31.800083,-116.796467
"17",2011,"Isla_Todos_Santos_Expuesto","South",2,31,2.06666666666667,31.800083,-116.796467
"18",2011,"Isla_Todos_Santos_Expuesto","South",3,96,6.4,31.800083,-116.796467
"19",2011,"Sal_Si_Puedes","North",1,0,0,31.982592,-116.842221
"20",2011,"Sal_Si_Puedes","North",2,0,0,31.982592,-116.842221
"21",2011,"Sal_Si_Puedes","North",3,1,0.0666666666666667,31.982592,-116.842221
"22",2011,"Sal_Si_Puedes","South",1,1,0.0666666666666667,31.976803,-116.833583
"23",2011,"Sal_Si_Puedes","South",2,2,0.133333333333333,31.976803,-116.833583
"24",2011,"Sal_Si_Puedes","South",3,8,0.533333333333333,31.976803,-116.833583
"25",2011,"San_Miguel","North",1,0,0,31.9104345,-116.757552
"26",2011,"San_Miguel","North",2,0,0,31.9104345,-116.757552
"27",2011,"San_Miguel","North",3,0,0,31.9104345,-116.757552
"28",2011,"San_Miguel","South",1,1,0.0666666666666667,31.906184,-116.7533225
