"","Quarter","Year","Area","Location"
"X1",1984,1984,NA,"Asuncion"
"X2",1984.25,1984,NA,"Asuncion"
"X3",1984.5,1984,NA,"Asuncion"
"X4",1984.75,1984,NA,"Asuncion"
"X5",1985,1985,NA,"Asuncion"
"X6",1985.25,1985,NA,"Asuncion"
"X7",1985.5,1985,NA,"Asuncion"
"X8",1985.75,1985,NA,"Asuncion"
"X9",1986,1986,NA,"Asuncion"
"X10",1986.25,1986,7029,"Asuncion"
"X11",1986.5,1986,NA,"Asuncion"
"X12",1986.75,1986,NA,"Asuncion"
"X13",1987,1987,NA,"Asuncion"
"X14",1987.25,1987,206325,"Asuncion"
"X15",1987.5,1987,803190,"Asuncion"
"X16",1987.75,1987,NA,"Asuncion"
"X17",1988,1988,NA,"Asuncion"
"X18",1988.25,1988,NA,"Asuncion"
"X19",1988.5,1988,NA,"Asuncion"
"X20",1988.75,1988,NA,"Asuncion"
"X21",1989,1989,NA,"Asuncion"
"X22",1989.25,1989,829782,"Asuncion"
"X23",1989.5,1989,524514,"Asuncion"
"X24",1989.75,1989,0,"Asuncion"
"X25",1990,1990,NA,"Asuncion"
"X26",1990.25,1990,206286,"Asuncion"
"X27",1990.5,1990,NA,"Asuncion"
"X28",1990.75,1990,NA,"Asuncion"
"X29",1991,1991,NA,"Asuncion"
"X30",1991.25,1991,0,"Asuncion"
"X31",1991.5,1991,NA,"Asuncion"
"X32",1991.75,1991,NA,"Asuncion"
"X33",1992,1992,NA,"Asuncion"
"X34",1992.25,1992,193140,"Asuncion"
"X35",1992.5,1992,44505,"Asuncion"
"X36",1992.75,1992,NA,"Asuncion"
"X37",1993,1993,0,"Asuncion"
"X38",1993.25,1993,0,"Asuncion"
"X39",1993.5,1993,12779,"Asuncion"
"X40",1993.75,1993,10664,"Asuncion"
"X41",1994,1994,21436,"Asuncion"
"X42",1994.25,1994,111744,"Asuncion"
"X43",1994.5,1994,136834,"Asuncion"
"X44",1994.75,1994,64151,"Asuncion"
"X45",1995,1995,85087,"Asuncion"
"X46",1995.25,1995,196921,"Asuncion"
"X47",1995.5,1995,343394,"Asuncion"
"X48",1995.75,1995,6294,"Asuncion"
"X49",1996,1996,377456,"Asuncion"
"X50",1996.25,1996,967985,"Asuncion"
"X51",1996.5,1996,857837,"Asuncion"
"X52",1996.75,1996,104521,"Asuncion"
"X53",1997,1997,327992,"Asuncion"
"X54",1997.25,1997,557658,"Asuncion"
"X55",1997.5,1997,16094,"Asuncion"
"X56",1997.75,1997,0,"Asuncion"
"X57",1998,1998,0,"Asuncion"
"X58",1998.25,1998,0,"Asuncion"
"X59",1998.5,1998,0,"Asuncion"
"X60",1998.75,1998,0,"Asuncion"
"X61",1999,1999,0,"Asuncion"
"X62",1999.25,1999,0,"Asuncion"
"X63",1999.5,1999,0,"Asuncion"
"X64",1999.75,1999,0,"Asuncion"
"X65",2000,2000,12632,"Asuncion"
"X66",2000.25,2000,104710,"Asuncion"
"X67",2000.5,2000,144945,"Asuncion"
"X68",2000.75,2000,91757,"Asuncion"
"X69",2001,2001,240457,"Asuncion"
"X70",2001.25,2001,496881,"Asuncion"
"X71",2001.5,2001,613808,"Asuncion"
"X72",2001.75,2001,126346,"Asuncion"
"X73",2002,2002,370419,"Asuncion"
"X74",2002.25,2002,1377840,"Asuncion"
"X75",2002.5,2002,1312715,"Asuncion"
"X76",2002.75,2002,78523,"Asuncion"
"X77",2003,2003,51790,"Asuncion"
"X78",2003.25,2003,629044,"Asuncion"
"X79",2003.5,2003,827050,"Asuncion"
"X80",2003.75,2003,42566,"Asuncion"
"X81",2004,2004,331052,"Asuncion"
"X82",2004.25,2004,635922,"Asuncion"
"X83",2004.5,2004,759067,"Asuncion"
"X84",2004.75,2004,12578,"Asuncion"
"X85",2005,2005,345872,"Asuncion"
