"","year","region","area"
"1",2000,"Central Baja California",12017152.75
"2",2000,"Northern Baja California",3555015.25
"3",2001,"Central Baja California",6871095.25
"4",2001,"Northern Baja California",4317688
"5",2002,"Central Baja California",5375550.25
"6",2002,"Northern Baja California",4544753.75
"7",2003,"Central Baja California",3340688.25
"8",2003,"Northern Baja California",2594432.5
"9",2004,"Central Baja California",6020381
"10",2004,"Northern Baja California",5511375.25
"11",2005,"Central Baja California",6154876.5
"12",2005,"Northern Baja California",7780137.5
"13",2006,"Central Baja California",3934772.75
"14",2006,"Northern Baja California",1756277.5
"15",2007,"Central Baja California",7259676.75
"16",2007,"Northern Baja California",7388003.75
"17",2008,"Central Baja California",6318637.25
"18",2008,"Northern Baja California",6420179.75
"19",2009,"Central Baja California",3817225.75
"20",2009,"Northern Baja California",10588806
"21",2010,"Central Baja California",5366854
"22",2010,"Northern Baja California",5849684.25
"23",2011,"Central Baja California",8601993.5
"24",2011,"Northern Baja California",4856065.5
"25",2012,"Central Baja California",7539425.5
"26",2012,"Northern Baja California",2563452.25
"27",2013,"Central Baja California",4591853.5
"28",2013,"Northern Baja California",5442524.25
"29",2014,"Central Baja California",12470432
"30",2014,"Northern Baja California",4900006
"31",2015,"Central Baja California",352118
"32",2015,"Northern Baja California",4315967.5
"33",2016,"Central Baja California",182123.5
"34",2016,"Northern Baja California",1147121.5
"35",2017,"Central Baja California",2682886.25
"36",2017,"Northern Baja California",2318105.25
"37",2018,"Central Baja California",7247922.75
"38",2018,"Northern Baja California",6735162.25
"39",2019,"Central Baja California",4859907
"40",2019,"Northern Baja California",1570836.75
"41",2020,"Central Baja California",5575064.75
"42",2020,"Northern Baja California",1620902.5
"43",2021,"Central Baja California",5313725.25
"44",2021,"Northern Baja California",1024928.25
"45",2022,"Central Baja California",4291811.25
"46",2022,"Northern Baja California",1404434
"47",2023,"Central Baja California",2403186.25
"48",2023,"Northern Baja California",279291.25
