"","year","Cum_Int","lat","lon","region"
"1",1983,219.5492,32.375,-117.125,"Northern Baja California"
"2",1984,308.9837,32.375,-117.125,"Northern Baja California"
"3",1985,0,32.375,-117.125,"Northern Baja California"
"4",1986,23.5348,32.375,-117.125,"Northern Baja California"
"5",1987,0,32.375,-117.125,"Northern Baja California"
"6",1988,25.9877,32.375,-117.125,"Northern Baja California"
"7",1989,8.4398,32.375,-117.125,"Northern Baja California"
"8",1990,25.3266,32.375,-117.125,"Northern Baja California"
"9",1991,0,32.375,-117.125,"Northern Baja California"
"10",1992,167.3075,32.375,-117.125,"Northern Baja California"
"11",1993,84.0598,32.375,-117.125,"Northern Baja California"
"12",1994,0,32.375,-117.125,"Northern Baja California"
"13",1995,52.306,32.375,-117.125,"Northern Baja California"
"14",1996,60.8722,32.375,-117.125,"Northern Baja California"
"15",1997,240.7279,32.375,-117.125,"Northern Baja California"
"16",1998,166.3796,32.375,-117.125,"Northern Baja California"
"17",1999,0,32.375,-117.125,"Northern Baja California"
"18",2000,33.9016,32.375,-117.125,"Northern Baja California"
"19",2001,9.0156,32.375,-117.125,"Northern Baja California"
"20",2002,0,32.375,-117.125,"Northern Baja California"
"21",2003,5.8538,32.375,-117.125,"Northern Baja California"
"22",2004,25.0602,32.375,-117.125,"Northern Baja California"
"23",2005,9.2677,32.375,-117.125,"Northern Baja California"
"24",2006,89.8794,32.375,-117.125,"Northern Baja California"
"25",2007,11.2975,32.375,-117.125,"Northern Baja California"
"26",2008,8.3134,32.375,-117.125,"Northern Baja California"
"27",2009,0,32.375,-117.125,"Northern Baja California"
"28",2010,0,32.375,-117.125,"Northern Baja California"
"29",2011,0,32.375,-117.125,"Northern Baja California"
"30",2012,16.2072,32.375,-117.125,"Northern Baja California"
"31",2013,36.9834,32.375,-117.125,"Northern Baja California"
"32",2014,549.8473,32.375,-117.125,"Northern Baja California"
"33",2015,768.5573,32.375,-117.125,"Northern Baja California"
"34",2016,259.7792,32.375,-117.125,"Northern Baja California"
"35",2017,182.79,32.375,-117.125,"Northern Baja California"
"36",2018,278.5885,32.375,-117.125,"Northern Baja California"
"37",2019,21.8742,32.375,-117.125,"Northern Baja California"
"38",2020,209.8661,32.375,-117.125,"Northern Baja California"
"39",2021,26.0096,32.375,-117.125,"Northern Baja California"
"40",2022,77.967,32.375,-117.125,"Northern Baja California"
"41",2023,27.9909,32.375,-117.125,"Northern Baja California"
"42",1983,194.8687,32.375,-117.375,"Northern Baja California"
"43",1984,284.4108,32.375,-117.375,"Northern Baja California"
"44",1985,0,32.375,-117.375,"Northern Baja California"
"45",1986,10.0934,32.375,-117.375,"Northern Baja California"
"46",1987,0,32.375,-117.375,"Northern Baja California"
"47",1988,26.3864,32.375,-117.375,"Northern Baja California"
"48",1989,17.5582,32.375,-117.375,"Northern Baja California"
"49",1990,13.4113,32.375,-117.375,"Northern Baja California"
"50",1991,0,32.375,-117.375,"Northern Baja California"
"51",1992,193.1505,32.375,-117.375,"Northern Baja California"
"52",1993,83.9826,32.375,-117.375,"Northern Baja California"
"53",1994,0,32.375,-117.375,"Northern Baja California"
"54",1995,43.1211,32.375,-117.375,"Northern Baja California"
"55",1996,49.7101,32.375,-117.375,"Northern Baja California"
"56",1997,222.8622,32.375,-117.375,"Northern Baja California"
"57",1998,147.5265,32.375,-117.375,"Northern Baja California"
"58",1999,0,32.375,-117.375,"Northern Baja California"
"59",2000,31.6477,32.375,-117.375,"Northern Baja California"
"60",2001,11.8722,32.375,-117.375,"Northern Baja California"
"61",2002,0,32.375,-117.375,"Northern Baja California"
"62",2003,0,32.375,-117.375,"Northern Baja California"
"63",2004,16.0549,32.375,-117.375,"Northern Baja California"
"64",2005,8.43,32.375,-117.375,"Northern Baja California"
"65",2006,134.3563,32.375,-117.375,"Northern Baja California"
"66",2007,0,32.375,-117.375,"Northern Baja California"
"67",2008,9.51050000000001,32.375,-117.375,"Northern Baja California"
"68",2009,8.2073,32.375,-117.375,"Northern Baja California"
"69",2010,0,32.375,-117.375,"Northern Baja California"
"70",2011,0,32.375,-117.375,"Northern Baja California"
"71",2012,11.3465,32.375,-117.375,"Northern Baja California"
"72",2013,14.0944,32.375,-117.375,"Northern Baja California"
"73",2014,533.5944,32.375,-117.375,"Northern Baja California"
"74",2015,755.5053,32.375,-117.375,"Northern Baja California"
"75",2016,238.6093,32.375,-117.375,"Northern Baja California"
"76",2017,166.2306,32.375,-117.375,"Northern Baja California"
"77",2018,281.8518,32.375,-117.375,"Northern Baja California"
"78",2019,37.5788,32.375,-117.375,"Northern Baja California"
"79",2020,242.7423,32.375,-117.375,"Northern Baja California"
"80",2021,30.4768,32.375,-117.375,"Northern Baja California"
"81",2022,129.6141,32.375,-117.375,"Northern Baja California"
"82",2023,26.8368,32.375,-117.375,"Northern Baja California"
"83",1983,226.8435,32.125,-116.875,"Northern Baja California"
"84",1984,260.1031,32.125,-116.875,"Northern Baja California"
"85",1985,0,32.125,-116.875,"Northern Baja California"
"86",1986,21.0334,32.125,-116.875,"Northern Baja California"
"87",1987,0,32.125,-116.875,"Northern Baja California"
"88",1988,25.4521,32.125,-116.875,"Northern Baja California"
