"","Year","Site","Sub_site","Transect","Lat","Density","Sum_abundance","count"
"1",2022,"Bahia_Tortugas_Clambei","Norte",1,27.6,0.0333333333333333,2,12
"2",2022,"Bahia_Tortugas_Clambei","Norte",2,27.6,0.0166666666666667,1,12
"3",2022,"Bahia_Tortugas_Clambei","Norte",3,27.6,0,0,12
"4",2022,"Bahia_Tortugas_Clambei","Sur",1,27.6,0.0166666666666667,1,12
"5",2022,"Bahia_Tortugas_Clambei","Sur",2,27.6,0,0,12
"6",2022,"Bahia_Tortugas_Clambei","Sur",3,27.6,0.0166666666666667,1,12
"7",2022,"Bahia_Tortugas_Rompiente","Norte",1,27.7,0.0333333333333333,2,6
"8",2022,"Bahia_Tortugas_Rompiente","Norte",2,27.7,0,0,6
"9",2022,"Bahia_Tortugas_Rompiente","Norte",3,27.7,0.0666666666666667,4,6
"10",2022,"Bahia_Tortugas_Rompiente","Sur",1,27.7,0,0,6
"11",2022,"Bahia_Tortugas_Rompiente","Sur",2,27.7,0,0,6
"12",2022,"Bahia_Tortugas_Rompiente","Sur",3,27.7,0.0166666666666667,1,6
"13",2022,"Bahia_Tortugas_Sargazera","Norte",1,27.7,0,0,9
"14",2022,"Bahia_Tortugas_Sargazera","Norte",2,27.7,0,0,9
"15",2022,"Bahia_Tortugas_Sargazera","Norte",3,27.7,0,0,9
"16",2022,"Bahia_Tortugas_Sargazera","Sur",1,27.7,0,0,9
"17",2022,"Bahia_Tortugas_Sargazera","Sur",2,27.7,0,0,9
"18",2022,"Bahia_Tortugas_Sargazera","Sur",3,27.7,0,0,9
"19",2022,"Baja_Mar","Norte",1,32,1.78333333333333,107,12
"20",2022,"Baja_Mar","Norte",2,32,2.05,123,12
"21",2022,"Baja_Mar","Norte",3,32,1.05,63,12
"22",2022,"Baja_Mar","Sur",1,32,1.2,72,12
"23",2022,"Baja_Mar","Sur",2,32,1.28333333333333,77,12
"24",2022,"Baja_Mar","Sur",3,32,1,60,12
"25",2022,"Bajo_Coronado","Norte",1,32.4,0.116666666666667,7,9
"26",2022,"Bajo_Coronado","Norte",2,32.4,0.15,9,9
"27",2022,"Bajo_Coronado","Norte",3,32.4,0.966666666666667,58,9
"28",2022,"Bajo_Coronado","Sur",1,32.4,0.166666666666667,10,9
"29",2022,"Bajo_Coronado","Sur",2,32.4,0.283333333333333,17,9
"30",2022,"Bajo_Coronado","Sur",3,32.4,0.316666666666667,19,9
"31",2022,"Campo_Lopez","Norte",1,32.2,1.18333333333333,71,12
"32",2022,"Campo_Lopez","Norte",2,32.2,0.616666666666667,37,12
"33",2022,"Campo_Lopez","Norte",3,32.2,0.766666666666667,46,12
"34",2022,"Campo_Lopez","Sur",1,32.2,0.983333333333333,59,12
"35",2022,"Campo_Lopez","Sur",2,32.2,0.3,18,12
"36",2022,"Campo_Lopez","Sur",3,32.2,0.383333333333333,23,12
"37",2022,"El_Retiro","Norte",1,31.6,0.95,57,12
"38",2022,"El_Retiro","Norte",2,31.6,0.35,21,12
"39",2022,"El_Retiro","Norte",3,31.6,0.65,39,12
"40",2022,"El_Retiro","Sur",1,31.6,0.383333333333333,23,12
"41",2022,"El_Retiro","Sur",2,31.6,0.483333333333333,29,12
"42",2022,"El_Retiro","Sur",3,31.6,0.616666666666667,37,12
"43",2022,"El_Rosario_Lazaro","Norte",1,29.9,1.4,84,12
"44",2022,"El_Rosario_Lazaro","Norte",2,29.9,1.2,72,12
"45",2022,"El_Rosario_Lazaro","Norte",3,29.9,1.56666666666667,94,12
"46",2022,"El_Rosario_Lazaro","Sur",1,29.9,1.31666666666667,79,12
"47",2022,"El_Rosario_Lazaro","Sur",2,29.9,0.05,3,12
"48",2022,"El_Rosario_Lazaro","Sur",3,29.9,0.3,18,12
"49",2022,"El_Rosario_Picacho","Norte",1,29.9,2.01666666666667,121,12
"50",2022,"El_Rosario_Picacho","Norte",2,29.9,0.916666666666667,55,12
"51",2022,"El_Rosario_Picacho","Norte",3,29.9,0.616666666666667,37,12
"52",2022,"El_Rosario_Picacho","Sur",1,29.9,2.86666666666667,172,12
"53",2022,"El_Rosario_Picacho","Sur",2,29.9,3.00333333333333,180.2,12
"54",2022,"El_Rosario_Picacho","Sur",3,29.9,0.0833333333333333,5,12
"55",2022,"Emancipacion_El_Cardon","Norte",1,27.5,0.05,3,6
"56",2022,"Emancipacion_El_Cardon","Norte",2,27.5,0.0166666666666667,1,6
"57",2022,"Emancipacion_El_Cardon","Norte",3,27.5,0.0166666666666667,1,6
"58",2022,"Emancipacion_El_Cardon","Sur",1,27.5,0,0,6
"59",2022,"Emancipacion_El_Cardon","Sur",2,27.5,0,0,6
"60",2022,"Emancipacion_El_Cardon","Sur",3,27.5,0,0,6
"61",2022,"Emancipacion_Puerto_Escondido","Norte",1,27.5,0.0333333333333333,2,6
"62",2022,"Emancipacion_Puerto_Escondido","Norte",2,27.5,0.0833333333333333,5,6
"63",2022,"Emancipacion_Puerto_Escondido","Norte",3,27.5,0.05,3,6
"64",2022,"Emancipacion_Puerto_Escondido","Sur",1,27.5,0,0,6
"65",2022,"Emancipacion_Puerto_Escondido","Sur",2,27.5,0,0,6
"66",2022,"Emancipacion_Puerto_Escondido","Sur",3,27.5,0,0,6
"67",2022,"Erendira","Norte",1,31.3,1.65,99,6
"68",2022,"Erendira","Norte",2,31.3,1.26666666666667,76,6
